nct_id,Type,Value,Action
NCT01166009,Northwell Disease Management Team,Hematologic,Add
NCT01166009,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT03414970,Northwell Disease Management Team,Breast ,Add
NCT02927769,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03155620,Northwell Disease Management Team,Pediatric Oncology,Add
NCT02723994,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03959085,Northwell Disease Management Team,Pediatric Oncology,Add
NCT01269853,Northwell Disease Management Team,Neuro-Oncology,Add
NCT01347970,Northwell Disease Management Team,Pediatric Oncology,Add
NCT01347970,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT04267848,Northwell Disease Management Team,Thoracic ,Add
NCT01351545,Northwell Disease Management Team,Hematologic,Add
NCT01351545,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT02981628,Northwell Disease Management Team,Pediatric Oncology,Add
NCT01587300,Northwell Disease Management Team,Pediatric Oncology,Add
NCT00898365,Northwell Disease Management Team,Pediatric Oncology,Add
NCT01656603,Northwell Disease Management Team,Hematologic,Add
NCT01656603,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT04145531,Northwell Disease Management Team,Pediatric Oncology,Add
NCT01790152,Northwell Disease Management Team,Pediatric Oncology,Add
NCT01790152,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT02567435,Northwell Disease Management Team,Pediatric Oncology,Add
NCT01979536,Northwell Disease Management Team,Pediatric Oncology,Add
NCT00772200,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03067181,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03007147,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04551131,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03330847,Northwell Disease Management Team,Breast ,Add
NCT02137850,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT03245151,Northwell Disease Management Team,Pediatric Oncology,Add
NCT02176967,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03407144,Northwell Disease Management Team,Pediatric Oncology,Add
NCT02193282,Northwell Disease Management Team,Thoracic ,Add
NCT03914625,Northwell Disease Management Team,Pediatric Oncology,Add
NCT02194738,Northwell Disease Management Team,Thoracic ,Add
NCT04094688,Northwell Disease Management Team,Gastrointestinal- Colorectal,Add
NCT02201992,Northwell Disease Management Team,Thoracic ,Add
NCT04258943,Northwell Disease Management Team,Pediatric Oncology,Add
NCT02402244,Northwell Disease Management Team,Pediatric Oncology,Add
NCT02445391,Northwell Disease Management Team,Breast ,Add
NCT03190915,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03601442,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT04100018,Northwell Disease Management Team,Genitourinary,Add
NCT03847519,Northwell Disease Management Team,Phase 1 Clinical Trials Unit,Add
NCT01350245,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT03398655,Northwell Disease Management Team,Gynecological,Add
NCT00107198,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03765918,Northwell Disease Management Team,Head and Neck,Add
NCT01371981,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03938792,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT01374360,Northwell Disease Management Team,Hematologic,Add
NCT04269889,Northwell Disease Management Team,Pediatric Oncology,Add
NCT01464164,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03498716,Northwell Disease Management Team,Breast ,Add
NCT01503086,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03698019,Northwell Disease Management Team,Cutaneous,Add
NCT00134030,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03816163,Northwell Disease Management Team,Gastrointestinal- Colorectal,Add
NCT01602666,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03901963,Northwell Disease Management Team,Hematologic,Add
NCT00228696,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04065555,Northwell Disease Management Team,Phase 1 Clinical Trials Unit,Add
NCT00346164,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04222309,Northwell Disease Management Team,Neuro-Oncology,Add
NCT01806129,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04340141,Northwell Disease Management Team,Gastrointestinal-Hepatobiliary & Upper GI,Add
NCT01837862,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03456063,Northwell Disease Management Team,Thoracic ,Add
NCT01852071,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03581292,Northwell Disease Management Team,Pediatric Oncology,Add
NCT01896999,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03657160,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT00352534,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03711032,Northwell Disease Management Team,Genitourinary,Add
NCT02099058,Northwell Disease Management Team,Phase 1 Clinical Trials Unit,Add
NCT03789591,Northwell Disease Management Team,Pediatric Oncology,Add
NCT02101853,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03833180,Northwell Disease Management Team,Hematologic,Add
NCT02112916,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03881592,Northwell Disease Management Team,Hematologic,Add
NCT00372593,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03914612,Northwell Disease Management Team,Gynecological,Add
NCT02166463,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04030000,Northwell Disease Management Team,Gynecological,Add
NCT00408005,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04080284,Northwell Disease Management Team,Gynecological,Add
NCT00499616,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04195399,Northwell Disease Management Team,Pediatric Oncology,Add
NCT00687882,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT04262336,Northwell Disease Management Team,Phase 1 Clinical Trials Unit,Add
NCT00736749,Northwell Disease Management Team,Pediatric Oncology,Add
NCT04305496,Northwell Disease Management Team,Breast ,Add
NCT02205762,Northwell Disease Management Team,Pediatric Oncology,Add
NCT01120353,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT02239575,Northwell Disease Management Team,Multiple,Add
NCT00082745,Northwell Disease Management Team,Pediatric Oncology,Add
NCT02306161,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03475186,Northwell Disease Management Team,Neuro-Oncology,Add
NCT02375204,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03556332,Northwell Disease Management Team,Hematologic,Add
NCT02393248,Northwell Disease Management Team,Phase 1 Clinical Trials Unit,Add
NCT03595059,Northwell Disease Management Team,Gynecological,Add
NCT02397083,Northwell Disease Management Team,Gynecological,Add
NCT03606174,Northwell Disease Management Team,Genitourinary,Add
NCT00075582,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03678025,Northwell Disease Management Team,Genitourinary,Add
NCT02435901,Northwell Disease Management Team,Pediatric Oncology ,Add
NCT03701308,Northwell Disease Management Team,Hematologic,Add
NCT02438995,Northwell Disease Management Team,Neuro-Oncology,Add
NCT03740165,Northwell Disease Management Team,Gynecological,Add
NCT00866307,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03775265,Northwell Disease Management Team,Genitourinary,Add
NCT02465060,Northwell Disease Management Team,Solid Tumors,Add
NCT03793166,Northwell Disease Management Team,Genitourinary,Add
NCT02473497,Northwell Disease Management Team,Pediatric Oncology,Add
NCT03830866,Northwell Disease Management Team,Gynecological,Add
NCT02503423,Northwell Disease Management Team,Hematologic,Add
